ticker,date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
^DJI,2007-12-03,13368.22,13490.24,13207.6,13314.57,3323250000
^DJI,2007-12-04,13311.24,13395.21,13139.56,13248.73,3343620000
^DJI,2007-12-05,13244.01,13513,13244.01,13444.96,3663660000
^DJI,2007-12-06,13445.85,13652.49,13362.37,13619.89,3568570000
^DJI,2007-12-07,13618.27,13744.02,13514.22,13625.58,3177710000
^DJI,2007-12-10,13623.55,13807.02,13582.5,13727.03,2911760000
^DJI,2007-12-11,13726.87,13850.92,13374.89,13432.77,4080180000
^DJI,2007-12-12,13434.8,13778.98,13299.61,13473.9,4482120000
^DJI,2007-12-13,13473.98,13586.73,13281,13517.96,3635170000
^DJI,2007-12-14,13515.11,13557.54,13284.66,13339.85,3401050000
^DJI,2007-12-17,13339.2,13378.38,13111.92,13167.2,3569030000
^DJI,2007-12-18,13168.66,13346.84,13059.32,13232.47,3723690000
^DJI,2007-12-19,13231.98,13368.79,13097.77,13207.27,3401300000
^DJI,2007-12-20,13206.46,13354,13112.98,13245.64,3526890000
^DJI,2007-12-21,13241.66,13518.2,13241.66,13450.65,4508590000
^DJI,2007-12-24,13487.12,13562.72,13451.35,13550.04,2200000
^DJI,2007-12-26,13547.95,13614.53,13440.16,13551.69,2010500000
^DJI,2007-12-27,13549.17,13551.53,13325.71,13359.61,2365770000
^DJI,2007-12-28,13361.23,13494.3,13272.14,13365.87,2420510000
^DJI,2007-12-31,13364.16,13423.91,13197.35,13264.82,2440880000
^DJI,2008-01-02,13261.82,13338.23,12969.42,13043.96,3452650000
^DJI,2008-01-03,13044.12,13197.43,12968.44,13056.72,3429500000
^DJI,2008-01-04,13046.56,13049.65,12740.51,12800.18,4166000000
^DJI,2008-01-07,12801.15,12984.95,12640.44,12827.49,4221260000
^DJI,2008-01-08,12820.9,12998.11,12511.03,12589.07,4705390000
^DJI,2008-01-09,12590.21,12814.97,12431.53,12735.31,5351030000
^DJI,2008-01-10,12733.11,12931.29,12632.15,12853.09,5170490000
^DJI,2008-01-11,12850.74,12863.34,12495.91,12606.3,4495840000
^DJI,2008-01-14,12613.78,12866.1,12596.95,12778.15,3682090000
^DJI,2008-01-15,12777.5,12777.5,12425.92,12501.11,4601640000
^DJI,2008-01-16,12476.81,12699.05,12294.48,12466.16,5440620000
^DJI,2008-01-17,12467.05,12597.85,12089.38,12159.21,5303130000
^DJI,2008-01-18,12159.94,12441.85,11953.71,12099.3,6004840000
^DJI,2008-01-22,12092.72,12167.42,11508.74,11971.19,6544690000
^DJI,2008-01-23,11969.08,12339.1,11530.12,12270.17,3241680000
^DJI,2008-01-24,12272.69,12522.82,12114.83,12378.61,5735300000
^DJI,2008-01-25,12391.7,12590.69,12103.61,12207.17,4882250000
^DJI,2008-01-28,12205.71,12423.81,12061.42,12383.89,4100930000
^DJI,2008-01-29,12385.19,12604.92,12262.29,12480.3,4232960000
^DJI,2008-01-30,12480.14,12715.96,12311.55,12442.83,4742760000
^DJI,2008-01-31,12438.28,12734.74,12197.09,12650.36,4970290000
^DJI,2008-02-01,12638.17,12841.88,12510.05,12743.19,4650770000
^DJI,2008-02-04,12743.11,12810.34,12557.61,12635.16,3495780000
^DJI,2008-02-05,12631.85,12631.85,12234.97,12265.13,4315740000
^DJI,2008-02-06,12257.25,12436.33,12142.14,12200.1,4008120000
^DJI,2008-02-07,12196.2,12366.99,12045,12247,4589160000
^DJI,2008-02-08,12248.47,12330.97,12058.01,12182.13,3768490000
^DJI,2008-02-11,12181.89,12332.76,12006.79,12240.01,3593140000
^DJI,2008-02-12,12241.56,12524.12,12207.9,12373.41,4044640000
^DJI,2008-02-13,12368.12,12627.76,12354.22,12552.24,3856420000
^DJI,2008-02-14,12551.51,12611.26,12332.03,12376.98,3644760000
^DJI,2008-02-15,12376.66,12441.2,12216.68,12348.21,3583300000
^DJI,2008-02-19,12349.59,12571.11,12276.81,12337.22,3613550000
^DJI,2008-02-20,12333.31,12489.29,12159.42,12427.26,3870520000
^DJI,2008-02-21,12426.85,12545.79,12225.36,12284.3,3696660000
^DJI,2008-02-22,12281.09,12429.05,12116.92,12381.02,3572660000
^DJI,2008-02-25,12380.77,12612.47,12292.03,12570.22,3866350000
^DJI,2008-02-26,12569.48,12771.14,12449.08,12684.92,4096060000
^DJI,2008-02-27,12683.54,12815.59,12527.64,12694.28,3904700000
^DJI,2008-02-28,12689.28,12713.99,12463.32,12582.18,3938580000
^DJI,2008-02-29,12579.58,12579.58,12210.3,12266.39,4426730000
^DJI,2008-03-03,12264.36,12344.71,12101.29,12258.9,4117570000
^DJI,2008-03-04,12259.14,12291.22,11991.06,12213.8,4757180000
^DJI,2008-03-05,12204.93,12392.74,12105.36,12254.99,4277710000
